feature,importance,absolute_importance,model,experiment_id,include_prior_grades,use_interactions
famsup_no,0.0024663184265210246,0.0024663184265210246,ridge,early_warning__baseline_features,False,False
higher_no,-1.5814757454889419,1.5814757454889419,lasso,early_warning__baseline_features,False,False
schoolsup_no,1.4881608506849786,1.4881608506849786,lasso,early_warning__baseline_features,False,False
school_GP,1.3787774427389337,1.3787774427389337,lasso,early_warning__baseline_features,False,False
failures,-0.8741514751162636,0.8741514751162636,lasso,early_warning__baseline_features,False,False
reason_other,-0.6343917729602144,0.6343917729602144,lasso,early_warning__baseline_features,False,False
Fjob_services,-0.4952515857182348,0.4952515857182348,lasso,early_warning__baseline_features,False,False
sex_F,0.3992438690063509,0.3992438690063509,lasso,early_warning__baseline_features,False,False
Mjob_health,0.36021318311664374,0.36021318311664374,lasso,early_warning__baseline_features,False,False
guardian_other,0.35480678896609397,0.35480678896609397,lasso,early_warning__baseline_features,False,False
Mjob_at_home,-0.3519310729523731,0.3519310729523731,lasso,early_warning__baseline_features,False,False
Fjob_at_home,0.3441200637443492,0.3441200637443492,lasso,early_warning__baseline_features,False,False
health,-0.3191888854043794,0.3191888854043794,lasso,early_warning__baseline_features,False,False
reason_reputation,0.30440915110349087,0.30440915110349087,lasso,early_warning__baseline_features,False,False
studytime,0.29965294477567733,0.29965294477567733,lasso,early_warning__baseline_features,False,False
romantic_no,0.29928246232709277,0.29928246232709277,lasso,early_warning__baseline_features,False,False
internet_no,-0.2711509410753793,0.2711509410753793,lasso,early_warning__baseline_features,False,False
Dalc,-0.27111470788529973,0.27111470788529973,lasso,early_warning__baseline_features,False,False
guardian_mother,-0.2647348858562577,0.2647348858562577,lasso,early_warning__baseline_features,False,False
Fedu,0.24763076252834557,0.24763076252834557,lasso,early_warning__baseline_features,False,False
address_R,-0.24637102709880945,0.24637102709880945,lasso,early_warning__baseline_features,False,False
Mjob_other,-0.22246266815122312,0.22246266815122312,lasso,early_warning__baseline_features,False,False
absences,-0.2183388924574333,0.2183388924574333,lasso,early_warning__baseline_features,False,False
paid_no,0.20500935421318056,0.20500935421318056,lasso,early_warning__baseline_features,False,False
goout,-0.1607943106226388,0.1607943106226388,lasso,early_warning__baseline_features,False,False
famsize_GT3,-0.1527602299899676,0.1527602299899676,lasso,early_warning__baseline_features,False,False
famrel,0.13816667754964856,0.13816667754964856,lasso,early_warning__baseline_features,False,False
activities_no,-0.13172613368460312,0.13172613368460312,lasso,early_warning__baseline_features,False,False
age,0.12720652354934686,0.12720652354934686,lasso,early_warning__baseline_features,False,False
freetime,-0.1092527345682482,0.1092527345682482,lasso,early_warning__baseline_features,False,False
reason_home,-0.06649568288151801,0.06649568288151801,lasso,early_warning__baseline_features,False,False
nursery_no,0.04560867224317147,0.04560867224317147,lasso,early_warning__baseline_features,False,False
Pstatus_A,0.03583848787198134,0.03583848787198134,lasso,early_warning__baseline_features,False,False
Fjob_other,0.027954246293241513,0.027954246293241513,lasso,early_warning__baseline_features,False,False
Medu,0.025204787644744504,0.025204787644744504,lasso,early_warning__baseline_features,False,False
reason_course,0.025006746682748028,0.025006746682748028,lasso,early_warning__baseline_features,False,False
traveltime,-0.017703369564385438,0.017703369564385438,lasso,early_warning__baseline_features,False,False
Walc,-0.003415525687697339,0.003415525687697339,lasso,early_warning__baseline_features,False,False
sex_M,-2.1532586749165255e-15,2.1532586749165255e-15,lasso,early_warning__baseline_features,False,False
paid_yes,-9.197448057351069e-16,9.197448057351069e-16,lasso,early_warning__baseline_features,False,False
activities_yes,9.176832027405258e-16,9.176832027405258e-16,lasso,early_warning__baseline_features,False,False
nursery_yes,-8.223881878238211e-16,8.223881878238211e-16,lasso,early_warning__baseline_features,False,False
internet_yes,7.685212474976381e-16,7.685212474976381e-16,lasso,early_warning__baseline_features,False,False
school_MS,-6.822108148584625e-16,6.822108148584625e-16,lasso,early_warning__baseline_features,False,False
address_U,4.478645614033198e-16,4.478645614033198e-16,lasso,early_warning__baseline_features,False,False
romantic_yes,-3.7608693954635353e-16,3.7608693954635353e-16,lasso,early_warning__baseline_features,False,False
Pstatus_T,-3.2270918926539983e-16,3.2270918926539983e-16,lasso,early_warning__baseline_features,False,False
famsize_LE3,2.8170058878155637e-16,2.8170058878155637e-16,lasso,early_warning__baseline_features,False,False
famsup_yes,0.0,0.0,lasso,early_warning__baseline_features,False,False
Fjob_health,-0.0,0.0,lasso,early_warning__baseline_features,False,False
schoolsup_yes,-0.0,0.0,lasso,early_warning__baseline_features,False,False
guardian_father,-0.0,0.0,lasso,early_warning__baseline_features,False,False
higher_yes,0.0,0.0,lasso,early_warning__baseline_features,False,False
Mjob_services,0.0,0.0,lasso,early_warning__baseline_features,False,False
Fjob_teacher,-0.0,0.0,lasso,early_warning__baseline_features,False,False
Mjob_teacher,0.0,0.0,lasso,early_warning__baseline_features,False,False
famsup_no,-0.0,0.0,lasso,early_warning__baseline_features,False,False
failures,0.38684796970507296,0.38684796970507296,decision_tree,early_warning__baseline_features,False,False
school_GP,0.08202206970341312,0.08202206970341312,decision_tree,early_warning__baseline_features,False,False
Walc,0.052648599576082825,0.052648599576082825,decision_tree,early_warning__baseline_features,False,False
higher_no,0.04851023196721625,0.04851023196721625,decision_tree,early_warning__baseline_features,False,False
absences,0.04619911585554761,0.04619911585554761,decision_tree,early_warning__baseline_features,False,False
freetime,0.046177038904254716,0.046177038904254716,decision_tree,early_warning__baseline_features,False,False
school_MS,0.04326828214013811,0.04326828214013811,decision_tree,early_warning__baseline_features,False,False
Fedu,0.041032217483013576,0.041032217483013576,decision_tree,early_warning__baseline_features,False,False
Dalc,0.03651338443059395,0.03651338443059395,decision_tree,early_warning__baseline_features,False,False
famsup_no,0.035298406267812686,0.035298406267812686,decision_tree,early_warning__baseline_features,False,False
schoolsup_yes,0.034537609845300375,0.034537609845300375,decision_tree,early_warning__baseline_features,False,False
guardian_mother,0.027669701898535074,0.027669701898535074,decision_tree,early_warning__baseline_features,False,False
goout,0.026334628127574956,0.026334628127574956,decision_tree,early_warning__baseline_features,False,False
studytime,0.025425852485550994,0.025425852485550994,decision_tree,early_warning__baseline_features,False,False
schoolsup_no,0.020447495281133952,0.020447495281133952,decision_tree,early_warning__baseline_features,False,False
romantic_no,0.017502126441123814,0.017502126441123814,decision_tree,early_warning__baseline_features,False,False
health,0.007333892774904166,0.007333892774904166,decision_tree,early_warning__baseline_features,False,False
Pstatus_A,0.005532100700410667,0.005532100700410667,decision_tree,early_warning__baseline_features,False,False
Fjob_health,0.005295185347524465,0.005295185347524465,decision_tree,early_warning__baseline_features,False,False
reason_home,0.005286424714913789,0.005286424714913789,decision_tree,early_warning__baseline_features,False,False
Medu,0.0032716062788029666,0.0032716062788029666,decision_tree,early_warning__baseline_features,False,False
Fjob_services,0.002074537762654014,0.002074537762654014,decision_tree,early_warning__baseline_features,False,False
age,0.0007715223084250477,0.0007715223084250477,decision_tree,early_warning__baseline_features,False,False
famsup_yes,0.0,0.0,decision_tree,early_warning__baseline_features,False,False
guardian_other,0.0,0.0,decision_tree,early_warning__baseline_features,False,False
nursery_yes,0.0,0.0,decision_tree,early_warning__baseline_features,False,False
paid_no,0.0,0.0,decision_tree,early_warning__baseline_features,False,False
paid_yes,0.0,0.0,decision_tree,early_warning__baseline_features,False,False
activities_no,0.0,0.0,decision_tree,early_warning__baseline_features,False,False
activities_yes,0.0,0.0,decision_tree,early_warning__baseline_features,False,False
nursery_no,0.0,0.0,decision_tree,early_warning__baseline_features,False,False
reason_reputation,0.0,0.0,decision_tree,early_warning__baseline_features,False,False
higher_yes,0.0,0.0,decision_tree,early_warning__baseline_features,False,False
internet_no,0.0,0.0,decision_tree,early_warning__baseline_features,False,False
internet_yes,0.0,0.0,decision_tree,early_warning__baseline_features,False,False
guardian_father,0.0,0.0,decision_tree,early_warning__baseline_features,False,False
Fjob_at_home,0.0,0.0,decision_tree,early_warning__baseline_features,False,False
reason_other,0.0,0.0,decision_tree,early_warning__baseline_features,False,False
famsize_LE3,0.0,0.0,decision_tree,early_warning__baseline_features,False,False
traveltime,0.0,0.0,decision_tree,early_warning__baseline_features,False,False
famrel,0.0,0.0,decision_tree,early_warning__baseline_features,False,False
sex_F,0.0,0.0,decision_tree,early_warning__baseline_features,False,False
sex_M,0.0,0.0,decision_tree,early_warning__baseline_features,False,False
address_R,0.0,0.0,decision_tree,early_warning__baseline_features,False,False
address_U,0.0,0.0,decision_tree,early_warning__baseline_features,False,False
famsize_GT3,0.0,0.0,decision_tree,early_warning__baseline_features,False,False
Pstatus_T,0.0,0.0,decision_tree,early_warning__baseline_features,False,False
reason_course,0.0,0.0,decision_tree,early_warning__baseline_features,False,False
Mjob_at_home,0.0,0.0,decision_tree,early_warning__baseline_features,False,False
Mjob_health,0.0,0.0,decision_tree,early_warning__baseline_features,False,False
Mjob_other,0.0,0.0,decision_tree,early_warning__baseline_features,False,False
Mjob_services,0.0,0.0,decision_tree,early_warning__baseline_features,False,False
Mjob_teacher,0.0,0.0,decision_tree,early_warning__baseline_features,False,False
Fjob_other,0.0,0.0,decision_tree,early_warning__baseline_features,False,False
Fjob_teacher,0.0,0.0,decision_tree,early_warning__baseline_features,False,False
romantic_yes,0.0,0.0,decision_tree,early_warning__baseline_features,False,False
schoolsup_yes,-0.9038170722183803,0.9038170722183803,linear_regression,early_warning__with_interactions,False,True
schoolsup_no,0.9038170722183801,0.9038170722183801,linear_regression,early_warning__with_interactions,False,True
higher_yes,0.8492652297681933,0.8492652297681933,linear_regression,early_warning__with_interactions,False,True
higher_no,-0.8492652297681932,0.8492652297681932,linear_regression,early_warning__with_interactions,False,True
school_MS,-0.6909145134277932,0.6909145134277932,linear_regression,early_warning__with_interactions,False,True
school_GP,0.6909145134277924,0.6909145134277924,linear_regression,early_warning__with_interactions,False,True
studytime,0.6578363889774254,0.6578363889774254,linear_regression,early_warning__with_interactions,False,True
Fjob_at_home,0.643015882937477,0.643015882937477,linear_regression,early_warning__with_interactions,False,True
failures,-0.5855772619872219,0.5855772619872219,linear_regression,early_warning__with_interactions,False,True
Mjob_health,0.5813672952570659,0.5813672952570659,linear_regression,early_warning__with_interactions,False,True
reason_other,-0.543488494923288,0.543488494923288,linear_regression,early_warning__with_interactions,False,True
guardian_other,0.4949362983694423,0.4949362983694423,linear_regression,early_warning__with_interactions,False,True
Fjob_health,-0.4595954377109468,0.4595954377109468,linear_regression,early_warning__with_interactions,False,True
internet_no,-0.4532789593968367,0.4532789593968367,linear_regression,early_warning__with_interactions,False,True
internet_yes,0.4532789593968361,0.4532789593968361,linear_regression,early_warning__with_interactions,False,True
Mjob_at_home,-0.4239544429241045,0.4239544429241045,linear_regression,early_warning__with_interactions,False,True
guardian_mother,-0.40964705603789064,0.40964705603789064,linear_regression,early_warning__with_interactions,False,True
reason_reputation,0.40490828005124835,0.40490828005124835,linear_regression,early_warning__with_interactions,False,True
Fjob_services,-0.39978174561375746,0.39978174561375746,linear_regression,early_warning__with_interactions,False,True
internet_x_studytime,-0.38984085713854866,0.38984085713854866,linear_regression,early_warning__with_interactions,False,True
studytime_x_failures,-0.37295786275133164,0.37295786275133164,linear_regression,early_warning__with_interactions,False,True
Medu_x_Fedu,0.33901666895401,0.33901666895401,linear_regression,early_warning__with_interactions,False,True
health,-0.328749328328594,0.328749328328594,linear_regression,early_warning__with_interactions,False,True
studytime_x_absences,-0.29229293658337135,0.29229293658337135,linear_regression,early_warning__with_interactions,False,True
Mjob_other,-0.26547623151958516,0.26547623151958516,linear_regression,early_warning__with_interactions,False,True
sex_M,-0.26304195183372564,0.26304195183372564,linear_regression,early_warning__with_interactions,False,True
sex_F,0.2630419518337255,0.2630419518337255,linear_regression,early_warning__with_interactions,False,True
